Date,Time,Id,Route,Direction,Name,MlDetPostmile,pcw1occ,pcw1speed,pcw1vol,r_1_offcnt,r_2_offcnt,Psg 1 Cnt,Psg 2 Cnt,Psg 3 Cnt,Mainline Lanes
2021/02/11,05:31:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:31:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,6.3,63,853,0,0,0,1,,0xE0 
2021/02/11,05:31:00,235,78,WB,Barham/Woodland to 78 WB,14.14,7.7,64,1066,2,,0,3,,0xE0 
2021/02/11,05:31:00,472,78,WB,78 WB W/O Nordahl,14.862,3.6,64,487,,,0,2,,0xFC 
2021/02/11,05:31:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,7.4,63,1005,1,2,1,0,,0xE0 
2021/02/11,05:31:00,13005,78,WB,78 WB E/O Nordahl,15.915,6.1,60,792,,,,,,0xF0 
2021/02/11,05:31:00,13004,78,WB,78 WB W/O 15,16.267,5.0,63,670,,,,,,0xF8 
2021/02/11,05:31:00,23004,78,WB,78 WB Connector from 15 NB,16.27,5.0,63,670,,,,,,0xF8 
2021/02/11,05:31:00,33004,78,WB,78 WB Connector from 15 SB,16.272,5.0,63,670,,,,,,0xF8 
2021/02/11,05:31:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,3.7,57,457,,,6,9,,0xE0 
2021/02/11,05:31:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:31:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,4,8,0,0xEC 
2021/02/11,05:32:00,345,78,WB,78 WB W/O Jefferson St,0.416,10.1,8,182,,,,,,0xF0 
2021/02/11,05:32:00,190,78,WB,Jefferson St to 78 WB,0.653,4.7,69,700,0,0,0,0,0,0xE0 
2021/02/11,05:32:00,191,78,WB,El Camino Real to 78 WB,1.387,4.5,63,609,0,0,1,2,,0xE0 
2021/02/11,05:32:00,66,78,WB,College Blvd SB to 78 WB,3.245,3.3,56,396,,,0,0,0,0xFC 
2021/02/11,05:32:00,270,78,WB,College Blvd NB to 78 WB,3.33,2.9,68,426,1,2,0,1,,0xE0 
2021/02/11,05:32:00,471,78,WB,78 WB E/O College Blvd,3.588,2.6,60,335,0,0,0,1,,0xFC 
2021/02/11,05:32:00,192,78,WB,Emerald Dr to 78 WB,4.285,3.3,78,548,,,0,1,,0xE0 
2021/02/11,05:32:00,473,78,WB,78 WB E/O Emerald Dr,4.476,2.7,58,335,0,1,1,0,,0xFC 
2021/02/11,05:32:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,2.4,76,396,,,0,0,,0xE0 
2021/02/11,05:32:00,204,78,WB,Vista Village Dr to 78 WB,6.141,2.0,84,365,0,3,0,3,,0xE0 
2021/02/11,05:32:00,194,78,WB,Civic Center Dr to 78 WB,6.855,3.2,84,578,0,3,0,0,,0xE0 
2021/02/11,05:32:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,3.1,69,457,0,,1,1,,0xE0 
2021/02/11,05:32:00,202,78,WB,Sycamore Ave to 78 WB,8.973,3.0,76,487,0,2,0,0,0,0xE0 
2021/02/11,05:32:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,3.7,72,578,0,1,0,4,,0xE0 
2021/02/11,05:32:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.2,76,517,1,9,0,1,,0xF0 
2021/02/11,05:32:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.2,76,517,1,9,0,1,,0xF0 
2021/02/11,05:32:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,4.5,70,670,,,0,0,,0xE0 
2021/02/11,05:32:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,6.0,59,761,3,5,0,,,0xE0 
2021/02/11,05:32:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,1,,0x00 
2021/02/11,05:32:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,7.5,66,1066,1,0,0,0,,0xE0 
2021/02/11,05:32:00,235,78,WB,Barham/Woodland to 78 WB,14.14,8.5,62,1127,1,,0,0,,0xE0 
2021/02/11,05:32:00,472,78,WB,78 WB W/O Nordahl,14.862,3.6,60,457,,,0,3,,0xFC 
2021/02/11,05:32:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,7.2,67,1035,0,3,1,2,,0xE0 
2021/02/11,05:32:00,13005,78,WB,78 WB E/O Nordahl,15.915,6.2,59,792,,,,,,0xF0 
2021/02/11,05:32:00,13004,78,WB,78 WB W/O 15,16.267,4.8,65,670,,,,,,0xF8 
2021/02/11,05:32:00,23004,78,WB,78 WB Connector from 15 NB,16.27,4.8,65,670,,,,,,0xF8 
2021/02/11,05:32:00,33004,78,WB,78 WB Connector from 15 SB,16.272,4.8,65,670,,,,,,0xF8 
2021/02/11,05:32:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,5.4,58,670,,,1,4,,0xE0 
2021/02/11,05:32:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,2,,0x00 
2021/02/11,05:32:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,15,17,1,0xEC 
2021/02/11,05:33:00,345,78,WB,78 WB W/O Jefferson St,0.416,10.0,8,182,,,,,,0xF0 
2021/02/11,05:33:00,190,78,WB,Jefferson St to 78 WB,0.653,4.8,68,700,0,1,0,0,0,0xE0 
2021/02/11,05:33:00,191,78,WB,El Camino Real to 78 WB,1.387,3.9,68,578,2,0,3,2,,0xE0 
2021/02/11,05:33:00,66,78,WB,College Blvd SB to 78 WB,3.245,4.0,57,487,,,1,2,3,0xFC 
2021/02/11,05:33:00,270,78,WB,College Blvd NB to 78 WB,3.33,4.0,64,548,2,1,0,0,,0xE0 
2021/02/11,05:33:00,471,78,WB,78 WB E/O College Blvd,3.588,2.4,64,335,0,0,1,0,,0xFC 
2021/02/11,05:33:00,192,78,WB,Emerald Dr to 78 WB,4.285,2.3,74,365,,,1,3,,0xE0 
2021/02/11,05:33:00,473,78,WB,78 WB E/O Emerald Dr,4.476,2.4,70,365,0,0,0,1,,0xFC 
2021/02/11,05:33:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,3.0,79,517,,,0,0,,0xE0 
2021/02/11,05:33:00,204,78,WB,Vista Village Dr to 78 WB,6.141,1.9,84,335,0,0,0,2,,0xE0 
2021/02/11,05:33:00,194,78,WB,Civic Center Dr to 78 WB,6.855,3.2,71,487,0,0,0,3,,0xE0 
2021/02/11,05:33:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,3.8,68,548,1,,1,2,,0xE0 
2021/02/11,05:33:00,202,78,WB,Sycamore Ave to 78 WB,8.973,3.2,72,487,3,2,0,1,0,0xE0 
2021/02/11,05:33:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,2.5,74,396,1,1,0,0,,0xE0 
2021/02/11,05:33:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,2.8,77,457,0,7,0,3,,0xF0 
2021/02/11,05:33:00,397,78,WB,Las Posas Rd to 78 WB,11.099,2.8,77,457,0,7,0,3,,0xF0 
2021/02/11,05:33:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.6,70,853,,,0,0,,0xE0 
2021/02/11,05:33:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,5.7,65,792,1,3,1,,,0xE0 
2021/02/11,05:33:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:33:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,7.4,67,1066,2,2,0,0,,0xE0 
2021/02/11,05:33:00,235,78,WB,Barham/Woodland to 78 WB,14.14,6.9,63,944,3,,0,2,,0xE0 
2021/02/11,05:33:00,472,78,WB,78 WB W/O Nordahl,14.862,5.1,63,700,,,0,1,,0xFC 
2021/02/11,05:33:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,6.8,65,944,2,3,0,2,,0xE0 
2021/02/11,05:33:00,13005,78,WB,78 WB E/O Nordahl,15.915,5.2,60,670,,,,,,0xF0 
2021/02/11,05:33:00,13004,78,WB,78 WB W/O 15,16.267,5.6,61,731,,,,,,0xF8 
2021/02/11,05:33:00,23004,78,WB,78 WB Connector from 15 NB,16.27,5.6,61,731,,,,,,0xF8 
2021/02/11,05:33:00,33004,78,WB,78 WB Connector from 15 SB,16.272,5.6,61,731,,,,,,0xF8 
2021/02/11,05:33:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,4.9,55,578,,,0,4,,0xE0 
2021/02/11,05:33:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,2,,0x00 
2021/02/11,05:33:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,3,3,0,0xEC 
2021/02/11,05:34:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.6,5,121,,,,,,0xF0 
2021/02/11,05:34:00,190,78,WB,Jefferson St to 78 WB,0.653,4.0,67,578,0,0,0,1,0,0xE0 
2021/02/11,05:34:00,191,78,WB,El Camino Real to 78 WB,1.387,3.3,68,487,2,1,0,0,,0xE0 
2021/02/11,05:34:00,66,78,WB,College Blvd SB to 78 WB,3.245,3.3,60,426,,,0,0,0,0xFC 
2021/02/11,05:34:00,270,78,WB,College Blvd NB to 78 WB,3.33,3.3,69,487,0,0,0,2,,0xE0 
2021/02/11,05:34:00,471,78,WB,78 WB E/O College Blvd,3.588,1.5,68,213,0,0,0,1,,0xFC 
2021/02/11,05:34:00,192,78,WB,Emerald Dr to 78 WB,4.285,3.4,71,517,,,0,2,,0xE0 
2021/02/11,05:34:00,473,78,WB,78 WB E/O Emerald Dr,4.476,2.2,64,304,0,0,0,0,,0xFC 
2021/02/11,05:34:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,3.6,68,517,,,0,0,,0xE0 
2021/02/11,05:34:00,204,78,WB,Vista Village Dr to 78 WB,6.141,3.0,76,487,0,4,0,1,,0xE0 
2021/02/11,05:34:00,194,78,WB,Civic Center Dr to 78 WB,6.855,4.2,71,639,0,0,0,0,,0xE0 
2021/02/11,05:34:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,3.4,66,487,0,,2,0,,0xE0 
2021/02/11,05:34:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.4,72,365,0,3,0,0,0,0xE0 
2021/02/11,05:34:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,3.4,70,517,2,4,0,1,,0xE0 
2021/02/11,05:34:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.5,77,578,0,2,0,0,,0xF0 
2021/02/11,05:34:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.5,77,578,0,2,0,0,,0xF0 
2021/02/11,05:34:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.6,66,792,,,0,0,,0xE0 
2021/02/11,05:34:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,5.4,60,700,0,3,0,,,0xE0 
2021/02/11,05:34:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:34:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,6.5,68,944,0,0,0,1,,0xE0 
2021/02/11,05:34:00,235,78,WB,Barham/Woodland to 78 WB,14.14,7.6,62,1005,1,,0,5,,0xE0 
2021/02/11,05:34:00,472,78,WB,78 WB W/O Nordahl,14.862,5.0,59,639,,,0,0,,0xFC 
2021/02/11,05:34:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,9.4,64,1279,1,5,1,0,,0xE0 
2021/02/11,05:34:00,13005,78,WB,78 WB E/O Nordahl,15.915,7.3,66,1035,,,,,,0xF0 
2021/02/11,05:34:00,13004,78,WB,78 WB W/O 15,16.267,5.6,60,731,,,,,,0xF8 
2021/02/11,05:34:00,23004,78,WB,78 WB Connector from 15 NB,16.27,5.6,60,731,,,,,,0xF8 
2021/02/11,05:34:00,33004,78,WB,78 WB Connector from 15 SB,16.272,5.6,60,731,,,,,,0xF8 
2021/02/11,05:34:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,6.8,52,761,,,1,4,,0xE0 
2021/02/11,05:34:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,5,,0x00 
2021/02/11,05:34:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,14,15,0,0xEC 
2021/02/11,05:35:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.9,5,121,,,,,,0xF0 
2021/02/11,05:35:00,190,78,WB,Jefferson St to 78 WB,0.653,4.6,68,670,0,1,0,2,1,0xE0 
2021/02/11,05:35:00,191,78,WB,El Camino Real to 78 WB,1.387,3.9,66,548,1,1,3,3,,0xE0 
2021/02/11,05:35:00,66,78,WB,College Blvd SB to 78 WB,3.245,3.4,58,426,,,0,0,0,0xFC 
2021/02/11,05:35:00,270,78,WB,College Blvd NB to 78 WB,3.33,3.7,65,517,0,0,0,0,,0xE0 
2021/02/11,05:35:00,471,78,WB,78 WB E/O College Blvd,3.588,1.9,67,274,0,0,0,1,,0xFC 
2021/02/11,05:35:00,192,78,WB,Emerald Dr to 78 WB,4.285,2.4,78,396,,,0,0,,0xE0 
2021/02/11,05:35:00,473,78,WB,78 WB E/O Emerald Dr,4.476,2.0,65,274,0,0,0,1,,0xFC 
2021/02/11,05:35:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,4.8,68,700,,,1,1,,0xE0 
2021/02/11,05:35:00,204,78,WB,Vista Village Dr to 78 WB,6.141,3.2,71,487,1,2,0,2,,0xE0 
2021/02/11,05:35:00,194,78,WB,Civic Center Dr to 78 WB,6.855,3.4,74,548,1,1,0,1,,0xE0 
2021/02/11,05:35:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,2.9,63,396,0,,0,1,,0xE0 
2021/02/11,05:35:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.7,75,426,3,6,0,0,1,0xE0 
2021/02/11,05:35:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,3.3,77,548,2,4,0,3,,0xE0 
2021/02/11,05:35:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.6,68,517,0,6,0,2,,0xF0 
2021/02/11,05:35:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.6,68,517,0,6,0,2,,0xF0 
2021/02/11,05:35:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.8,71,883,,,0,0,,0xE0 
2021/02/11,05:35:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,5.4,65,761,0,7,1,,,0xE0 
2021/02/11,05:35:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:35:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,6.2,67,883,3,0,0,1,,0xE0 
2021/02/11,05:35:00,235,78,WB,Barham/Woodland to 78 WB,14.14,9.9,60,1279,1,,0,1,,0xE0 
2021/02/11,05:35:00,472,78,WB,78 WB W/O Nordahl,14.862,4.7,67,670,,,0,0,,0xFC 
2021/02/11,05:35:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,9.0,65,1249,3,3,2,3,,0xE0 
2021/02/11,05:35:00,13005,78,WB,78 WB E/O Nordahl,15.915,6.7,68,975,,,,,,0xF0 
2021/02/11,05:35:00,13004,78,WB,78 WB W/O 15,16.267,6.5,66,914,,,,,,0xF8 
2021/02/11,05:35:00,23004,78,WB,78 WB Connector from 15 NB,16.27,6.5,66,914,,,,,,0xF8 
2021/02/11,05:35:00,33004,78,WB,78 WB Connector from 15 SB,16.272,6.5,66,914,,,,,,0xF8 
2021/02/11,05:35:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,5.0,48,517,,,0,1,,0xE0 
2021/02/11,05:35:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:35:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,8,7,0,0xEC 
2021/02/11,05:36:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.2,3,60,,,,,,0xF0 
2021/02/11,05:36:00,190,78,WB,Jefferson St to 78 WB,0.653,4.1,69,609,0,1,0,0,0,0xE0 
2021/02/11,05:36:00,191,78,WB,El Camino Real to 78 WB,1.387,4.7,67,670,2,1,0,1,,0xE0 
2021/02/11,05:36:00,66,78,WB,College Blvd SB to 78 WB,3.245,2.8,60,365,,,0,1,1,0xFC 
2021/02/11,05:36:00,270,78,WB,College Blvd NB to 78 WB,3.33,3.2,67,457,0,2,1,0,,0xE0 
2021/02/11,05:36:00,471,78,WB,78 WB E/O College Blvd,3.588,3.3,43,304,0,0,1,1,,0xFC 
2021/02/11,05:36:00,192,78,WB,Emerald Dr to 78 WB,4.285,3.9,66,548,,,0,2,,0xE0 
2021/02/11,05:36:00,473,78,WB,78 WB E/O Emerald Dr,4.476,1.9,67,274,1,1,3,2,,0xFC 
2021/02/11,05:36:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,3.3,74,517,,,2,2,,0xE0 
2021/02/11,05:36:00,204,78,WB,Vista Village Dr to 78 WB,6.141,2.3,74,365,1,2,0,3,,0xE0 
2021/02/11,05:36:00,194,78,WB,Civic Center Dr to 78 WB,6.855,3.0,70,457,0,0,0,0,,0xE0 
2021/02/11,05:36:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,2.8,72,426,1,,2,2,,0xE0 
2021/02/11,05:36:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.5,80,426,4,7,0,0,0,0xE0 
2021/02/11,05:36:00,196,78,WB,Rho Santa Fe Rd to 78 WB,10.439,3.9,75,639,0,1,0,0,,0xE0 
2021/02/11,05:36:00,456,78,WB,off to Rho Sante Fe/bypass lane,11.098,3.4,80,578,0,5,0,1,,0xF0 
2021/02/11,05:36:00,397,78,WB,Las Posas Rd to 78 WB,11.099,3.4,80,578,0,5,0,1,,0xF0 
2021/02/11,05:36:00,271,78,WB,San Marcos Blvd SB to 78 WB,12.035,5.1,72,792,,,0,0,,0xE0 
2021/02/11,05:36:00,179,78,WB,San Marcos Blvd NB to 78 WB,12.271,6.9,62,914,1,3,0,,,0xE0 
2021/02/11,05:36:00,302,78,WB,Twin Oaks Vlly Rd SB to 78 WB,12.805,0.0,0,0,,,0,0,,0x00 
2021/02/11,05:36:00,233,78,WB,Twin Oaks Vlly Rd NB to 78 WB,12.879,8.1,63,1096,3,2,0,1,,0xE0 
2021/02/11,05:36:00,235,78,WB,Barham/Woodland to 78 WB,14.14,9.0,63,1218,4,,1,2,,0xE0 
2021/02/11,05:36:00,472,78,WB,78 WB W/O Nordahl,14.862,5.8,59,731,,,0,3,,0xFC 
2021/02/11,05:36:00,13007,78,WB,Nordahl Rd to 78 WB,15.37,9.8,65,1371,1,1,0,2,,0xE0 
2021/02/11,05:36:00,13005,78,WB,78 WB E/O Nordahl,15.915,7.5,64,1035,,,,,,0xF0 
2021/02/11,05:36:00,13004,78,WB,78 WB W/O 15,16.267,5.6,61,731,,,,,,0xF8 
2021/02/11,05:36:00,23004,78,WB,78 WB Connector from 15 NB,16.27,5.6,61,731,,,,,,0xF8 
2021/02/11,05:36:00,33004,78,WB,78 WB Connector from 15 SB,16.272,5.6,61,731,,,,,,0xF8 
2021/02/11,05:36:00,239,78,WB,Centre City Pkwy SB to 78 WB,17.283,7.1,52,792,,,0,4,,0xE0 
2021/02/11,05:36:00,240,78,WB,Centre City Pkwy NB to 78 WB,17.34,0.0,0,0,,,0,1,,0x00 
2021/02/11,05:36:00,250,78,WB,Broadway/Lincoln to 78 WB,17.621,0.0,0,0,,,1,5,0,0xEC 
2021/02/11,05:37:00,345,78,WB,78 WB W/O Jefferson St,0.416,9.7,5,121,,,,,,0xF0 
2021/02/11,05:37:00,190,78,WB,Jefferson St to 78 WB,0.653,4.8,71,731,0,1,0,0,0,0xE0 
2021/02/11,05:37:00,191,78,WB,El Camino Real to 78 WB,1.387,4.2,67,609,1,1,1,3,,0xE0 
2021/02/11,05:37:00,66,78,WB,College Blvd SB to 78 WB,3.245,4.2,50,457,,,0,1,5,0xFC 
2021/02/11,05:37:00,270,78,WB,College Blvd NB to 78 WB,3.33,4.4,61,578,0,1,1,2,,0xE0 
2021/02/11,05:37:00,471,78,WB,78 WB E/O College Blvd,3.588,3.4,49,365,0,0,4,3,,0xFC 
2021/02/11,05:37:00,192,78,WB,Emerald Dr to 78 WB,4.285,4.1,65,578,,,2,6,,0xE0 
2021/02/11,05:37:00,473,78,WB,78 WB E/O Emerald Dr,4.476,3.2,53,365,0,0,0,0,,0xFC 
2021/02/11,05:37:00,193,78,WB,Melrose/West Vista Way to 78 WB,5.801,3.6,67,517,,,0,1,,0xE0 
2021/02/11,05:37:00,204,78,WB,Vista Village Dr to 78 WB,6.141,2.8,80,487,0,2,0,5,,0xE0 
2021/02/11,05:37:00,194,78,WB,Civic Center Dr to 78 WB,6.855,2.9,77,487,0,1,1,0,,0xE0 
2021/02/11,05:37:00,195,78,WB,Mar Vista Dr to 78 WB,7.763,3.0,70,457,0,,0,0,,0xE0 
2021/02/11,05:37:00,202,78,WB,Sycamore Ave to 78 WB,8.973,2.4,82,426,3,3,0,0,0,0xE0 
